Country,Good,Bad
Products,samsung galaxy~iphone 5s~Note 2~BlackBerry Priv~Google Huawei~Galaxy S5~Galaxy S6~6s Plus~Obi Worldphone~Zenfone Selfie~6s black~DCWars~iphone gold~iPhone 6s~nitrogeno liquido~Google Nexus~Sony Xperia~iPhone 6S~Worldphone SF1~Ford F150~Galaxy Note~android snapchat~The Original~android snapchats~Android users~Android quality~Android emojis~Nexus 5X~LG G4~iphone 4s~that android~OnePlus X~Lumia 950~Galaxy s6~an iPad~an android~Nexus 6P~Htc Desire~2G Drop~Rose Gold~Size Comparison~iPhone 7~iPhone 6~Z5 Premium~iPhone 4~6 gold~iPhone 5s~iPad Mini~iPad Pro~cherry mobile~50 cal~Apple iPhone~Note 3~Note 5~Edge Plus~galaxy note~like android~note 5~Windows Phone~Apple iPad~Mate 8~Samsung Galaxy~iphone 4~3GS setup~Android snapchat~Louis holding~1st Gen~3G vs~S6 Edge~6S Plus~Samsung I9000~Turbo 2~Nokia N8~pink candy~likeIPHONE~Xperia Z5,##
Offers,600::iPhone 6::https://t.c…~450::iPhone 6::https://t.co/RcKCcJ0VTw~65::iPhone Blowout::https://t.co/fYAskbGtgl~250::iPhone 6S::https://t.co/IG7gpDuAC7~42::iPhone 6::https://t.co/8Wrujk9p6U~40::iPhone::https://t.co/NnMpad90X1
CN,1,1
PH,1,2
CA,33,4
AU,9,4
GB,35,19
IN,4,1
IE,1,2
US,683,84
SG,1,1
